2018-06-07 06:06:30 startup archives unpack
2018-06-07 06:06:30 upgrade git-man:all 1:2.7.4-0ubuntu1.3 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:30 status half-configured git-man:all 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:30 status unpacked git-man:all 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:30 status half-installed git-man:all 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:30 status triggers-pending man-db:armhf 2.7.5-1
2018-06-07 06:06:30 status half-installed git-man:all 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:30 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:31 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:31 upgrade git:armhf 1:2.7.4-0ubuntu1.3 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:31 status half-configured git:armhf 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:31 status unpacked git:armhf 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:31 status half-installed git:armhf 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:33 status half-installed git:armhf 1:2.7.4-0ubuntu1.3
2018-06-07 06:06:33 status unpacked git:armhf 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:33 status unpacked git:armhf 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:33 trigproc man-db:armhf 2.7.5-1 <none>
2018-06-07 06:06:33 status half-configured man-db:armhf 2.7.5-1
2018-06-07 06:06:36 status installed man-db:armhf 2.7.5-1
2018-06-07 06:06:36 startup packages configure
2018-06-07 06:06:36 configure git-man:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-07 06:06:36 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:36 status half-configured git-man:all 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:36 status installed git-man:all 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:36 configure git:armhf 1:2.7.4-0ubuntu1.4 <none>
2018-06-07 06:06:36 status unpacked git:armhf 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:36 status unpacked git:armhf 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:36 status half-configured git:armhf 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:37 status installed git:armhf 1:2.7.4-0ubuntu1.4
2018-06-07 06:06:37 startup packages configure
2018-06-12 06:32:23 startup archives unpack
2018-06-12 06:32:23 upgrade linux-libc-dev:armhf 4.4.0-127.153 4.4.0-128.154
2018-06-12 06:32:23 status half-configured linux-libc-dev:armhf 4.4.0-127.153
2018-06-12 06:32:23 status unpacked linux-libc-dev:armhf 4.4.0-127.153
2018-06-12 06:32:23 status half-installed linux-libc-dev:armhf 4.4.0-127.153
2018-06-12 06:32:25 status half-installed linux-libc-dev:armhf 4.4.0-127.153
2018-06-12 06:32:25 status unpacked linux-libc-dev:armhf 4.4.0-128.154
2018-06-12 06:32:25 status unpacked linux-libc-dev:armhf 4.4.0-128.154
2018-06-12 06:32:25 startup packages configure
2018-06-12 06:32:25 configure linux-libc-dev:armhf 4.4.0-128.154 <none>
2018-06-12 06:32:25 status unpacked linux-libc-dev:armhf 4.4.0-128.154
2018-06-12 06:32:25 status half-configured linux-libc-dev:armhf 4.4.0-128.154
2018-06-12 06:32:25 status installed linux-libc-dev:armhf 4.4.0-128.154
2018-06-12 06:32:25 startup packages configure
2018-06-14 06:04:56 startup archives unpack
2018-06-14 06:04:57 upgrade libperl5.22:armhf 5.22.1-9ubuntu0.3 5.22.1-9ubuntu0.5
2018-06-14 06:04:57 status half-configured libperl5.22:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:04:57 status unpacked libperl5.22:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:04:57 status half-installed libperl5.22:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:04:59 status triggers-pending man-db:armhf 2.7.5-1
2018-06-14 06:04:59 status half-installed libperl5.22:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:05:00 status unpacked libperl5.22:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:00 status unpacked libperl5.22:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:00 upgrade perl:armhf 5.22.1-9ubuntu0.3 5.22.1-9ubuntu0.5
2018-06-14 06:05:00 status half-configured perl:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:05:00 status unpacked perl:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:05:00 status half-installed perl:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:05:00 status half-installed perl:armhf 5.22.1-9ubuntu0.3
2018-06-14 06:05:00 status unpacked perl:armhf 5.22.1-9ubuntu0.5
2018-06-14 06:05:00 status unpacked perl:armhf 5.22.1-9ubuntu0.5
